record_id,isolate_id,genome_id,pathogen_species,antibiotic_name,antibiotic_class,phenotype_label,ast_guideline,ast_year,state_ut,region,collection_year,assembly_quality,data_source,gene_blaCTX_M,gene_blaNDM,gene_blaOXA_48,gene_qnrS,gene_qnrB,gene_mcr_1,gene_aac6Ib,gene_tetA,gene_sul1,gene_tetB,gene_tetC,gene_tetD,gene_tetM,gene_aadA,gene_aph,gene_ant,gene_aac6Ib_cr,gene_qepA,gene_oqxA,gene_oqxB,gene_catA,gene_cmlA,gene_floR
7c66ae12-7252-41a2-8eb8-ab61f13c7446,1124984.3,GCA_000446115,Escherichia coli,amoxicillin/clavulanic acid,Beta-lactam/BLI,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8261d6bf-aa67-45c2-b71c-abcd6ab78b7d,1124984.3,GCA_000446115,Escherichia coli,ampicillin,Penicillin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b03a5c0-5521-4f63-ba72-f80ccd8d1fe3,1124984.3,GCA_000446115,Escherichia coli,cefazolin,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed714ef4-ac13-41d8-9288-8b3985ee1070,1124984.3,GCA_000446115,Escherichia coli,cefepime,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12beabb0-f2c4-42c4-aa1d-f5ab073901f1,1124984.3,GCA_000446115,Escherichia coli,cefotaxime,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1139023-97ff-4953-b394-1f68a5d66b1f,1124984.3,GCA_000446115,Escherichia coli,ceftazidime,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5777294-4529-4acc-937a-4a370c333185,1124984.3,GCA_000446115,Escherichia coli,ceftiofur,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7deecf81-0e61-41e0-832a-571dd3d3f5c6,1124984.3,GCA_000446115,Escherichia coli,ceftriaxone,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3687946d-77dc-4bd7-be75-bc29d78fabe8,1124984.3,GCA_000446115,Escherichia coli,cefuroxime,Cephalosporin,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910a545b-2ac3-495c-aa42-779a2f86a4b0,1124984.3,GCA_000446115,Escherichia coli,chloramphenicol,Phenicol,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5e27ea0-9061-4e32-98f8-1d97d5c01b26,1124984.3,GCA_000446115,Escherichia coli,ciprofloxacin,Fluoroquinolone,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c35e572-d7b2-4058-a9af-b26ab8ab6857,1124984.3,GCA_000446115,Escherichia coli,ertapenem,Carbapenem,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199a842a-3de1-44be-90de-e892b60b3de2,1124984.3,GCA_000446115,Escherichia coli,gentamicin,Aminoglycoside,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b207cc91-42f9-40e4-b338-406ab01238e6,1124984.3,GCA_000446115,Escherichia coli,imipenem,Carbapenem,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c70542e9-9b1a-44f3-bf85-e4b4a09577d8,1124984.3,GCA_000446115,Escherichia coli,nalidixic acid,Fluoroquinolone,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8614ee0b-d44b-4fcd-bce7-d372fa5594fa,1124984.3,GCA_000446115,Escherichia coli,norfloxacin,,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3808e7df-dbb6-419c-bc38-3184f77bc57c,1124984.3,GCA_000446115,Escherichia coli,piperacillin/tazobactam,Beta-lactam/BLI,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d6bfd88-948f-4d98-9404-7ce55b88f985,1124984.3,GCA_000446115,Escherichia coli,streptomycin,,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146e00d9-f239-4821-ab2f-d8a182fc5fcb,1124984.3,GCA_000446115,Escherichia coli,trimethoprim,,0,CLSI,2023,India,Other,,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87303023-f10d-4776-910e-25526b8a40a1,1337384.3,GCA_000482045,Escherichia coli,amoxicillin,Penicillin,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27122b79-c6f0-46e4-9a12-0e805503adb9,1337384.3,GCA_000482045,Escherichia coli,amoxicillin/clavulanic acid,Beta-lactam/BLI,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157efb-a074-4c37-b3f0-b0bcd3f87c02,1337384.3,GCA_000482045,Escherichia coli,ampicillin,Penicillin,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6080cdb-3e85-4406-ac67-be08b99f781a,1337384.3,GCA_000482045,Escherichia coli,ampicillin/sulbactam,Beta-lactam/BLI,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77f112d0-fa6a-4645-bc72-174f4a89b855,1337384.3,GCA_000482045,Escherichia coli,cefalothin,Cephalosporin,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24da214e-acb0-4203-aec9-11a98f2886a5,1337384.3,GCA_000482045,Escherichia coli,cefazolin,Cephalosporin,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbc5c549-b1f6-4791-a9d2-e976d25809a5,1337384.3,GCA_000482045,Escherichia coli,cefepime,Cephalosporin,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf4f124f-5b34-4c10-89ff-0c15132d844f,1337384.3,GCA_000482045,Escherichia coli,cefoxitin,Cephalosporin,0,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1dd7785-f95b-4212-85c9-2bf3a4659013,1337384.3,GCA_000482045,Escherichia coli,ceftiofur,Cephalosporin,1,CLSI,2023,India: Chandigarh,North,2013.0,Pass,BV-BRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
